source_file,model_name,scope,domain,privacy_level,attack_strength,num_examples,avg_example_score,score_100
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall,,,,825,0.36352621452621453,36.352621452621456
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,customer_support,,,150,0.3537222222222222,35.37222222222222
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,customer_support,1,,30,0.38222222222222224,38.22222222222222
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,customer_support,2,,30,0.37861111111111106,37.86111111111111
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,customer_support,3,,30,0.30388888888888893,30.388888888888893
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,customer_support,4,,30,0.3302777777777778,33.02777777777778
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,customer_support,5,,30,0.3736111111111111,37.361111111111114
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,customer_support,,1,30,0.3,30.0
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,customer_support,,2,30,0.5633333333333332,56.33333333333332
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,customer_support,,3,30,0.11666666666666667,11.666666666666666
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,customer_support,,4,30,0.3,30.0
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,customer_support,,5,30,0.4886111111111111,48.861111111111114
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,education,,,150,0.4278015873015873,42.78015873015873
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,education,1,,30,0.4726190476190476,47.26190476190476
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,education,2,,30,0.40924603174603175,40.92460317460318
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,education,3,,30,0.3904100529100529,39.041005291005284
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,education,4,,30,0.4583333333333333,45.83333333333333
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,education,5,,30,0.4083994708994709,40.83994708994709
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,education,,1,30,0.4349867724867725,43.49867724867725
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,education,,2,30,0.4375,43.75
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,education,,3,30,0.3527777777777778,35.27777777777778
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,education,,4,30,0.20298941798941797,20.298941798941797
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,education,,5,30,0.7107539682539683,71.07539682539684
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,finance,,,150,0.4013703703703704,40.13703703703704
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,finance,1,,30,0.4216666666666667,42.16666666666667
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,finance,2,,30,0.45555555555555555,45.55555555555556
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,finance,3,,30,0.35,35.0
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,finance,4,,30,0.42462962962962963,42.46296296296296
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,finance,5,,30,0.35500000000000004,35.50000000000001
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,finance,,1,30,0.15,15.0
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,finance,,2,30,0.9416666666666667,94.16666666666667
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,finance,,3,30,0.016666666666666666,1.6666666666666667
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,finance,,4,30,0.2574074074074074,25.74074074074074
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,finance,,5,30,0.6411111111111112,64.11111111111111
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,medical,,,175,0.37300000000000005,37.300000000000004
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,1,,35,0.29000000000000004,29.000000000000004
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,2,,35,0.28452380952380957,28.452380952380956
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,3,,35,0.4504761904761905,45.04761904761905
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,4,,35,0.35904761904761906,35.904761904761905
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,5,,35,0.4809523809523809,48.09523809523809
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,1,35,0.4476190476190476,44.76190476190476
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,2,35,0.31261904761904763,31.261904761904763
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,3,35,0.26190476190476186,26.190476190476186
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,4,35,0.32857142857142857,32.857142857142854
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,5,35,0.5142857142857142,51.42857142857142
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,recruitment,,,200,0.28600000000000003,28.6
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,1,,40,0.3458333333333333,34.583333333333336
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,2,,40,0.27291666666666664,27.291666666666664
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,3,,40,0.2845833333333333,28.45833333333333
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,4,,40,0.29541666666666666,29.541666666666664
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,5,,40,0.23125,23.125
